Bike ID,iOS,Latitude,Longitude,Rental URIS
"{""bike_id"":""4f888707-a442-4b27-8912-ff0c98e64d83""","ios:""limebike://map?selected_vehicle_id=JU23F4YUJELZD\u0026generated_at=1634666729""}}","lat:""38.9235""","lon:""-76.9514""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=JU23F4YUJELZD\u0026generated_at=1634666729"""
"{""bike_id"":""b37765da-adb3-4cac-b92e-a3551a02ab99""","ios:""limebike://map?selected_vehicle_id=CMKJRZOJ63AAQ\u0026generated_at=1634666729""}}","lat:""38.8907""","lon:""-76.9542""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=CMKJRZOJ63AAQ\u0026generated_at=1634666729"""
"{""bike_id"":""1454a957-5430-4fc6-be94-b6c49479c1a3""","ios:""limebike://map?selected_vehicle_id=CNKUL7DGHKLRN\u0026generated_at=1634666729""}}","lat:""38.8971""","lon:""-76.9219""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=CNKUL7DGHKLRN\u0026generated_at=1634666729"""
"{""bike_id"":""ee64daf5-5a83-4861-abe6-d81326481bb6""","ios:""limebike://map?selected_vehicle_id=OPVUAJYG5NRDO\u0026generated_at=1634666729""}}","lat:""38.9008""","lon:""-76.9467""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=OPVUAJYG5NRDO\u0026generated_at=1634666729"""
"{""bike_id"":""b6b36c28-8bd1-498b-8d63-1f39d4be2574""","ios:""limebike://map?selected_vehicle_id=GEI3V5PKTNPWU\u0026generated_at=1634666729""}}","lat:""38.8973""","lon:""-76.9504""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=GEI3V5PKTNPWU\u0026generated_at=1634666729"""
"{""bike_id"":""242cbe5e-ab60-466a-9259-4e72a81c303b""","ios:""limebike://map?selected_vehicle_id=W65QCIYVZDLVR\u0026generated_at=1634666729""}}","lat:""38.9025""","lon:""-76.9695""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=W65QCIYVZDLVR\u0026generated_at=1634666729"""
"{""bike_id"":""da160402-b43e-421e-9377-b75935f02990""","ios:""limebike://map?selected_vehicle_id=OASVAO5CU2FIO\u0026generated_at=1634666729""}}","lat:""38.8893""","lon:""-76.9897""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=OASVAO5CU2FIO\u0026generated_at=1634666729"""
"{""bike_id"":""e5218937-d1e7-4d9d-a628-073a2c2de200""","ios:""limebike://map?selected_vehicle_id=2XQK7YWWFO44K\u0026generated_at=1634666729""}}","lat:""38.9046""","lon:""-76.9246""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=2XQK7YWWFO44K\u0026generated_at=1634666729"""
"{""bike_id"":""dba40c26-a548-48d1-a8ac-21046ae534dd""","ios:""limebike://map?selected_vehicle_id=VRELCEICO3YEM\u0026generated_at=1634666729""}}","lat:""38.9183""","lon:""-76.9693""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=VRELCEICO3YEM\u0026generated_at=1634666729"""
"{""bike_id"":""c96657cc-9667-4c00-92ca-7c9ee64c4f9c""","ios:""limebike://map?selected_vehicle_id=Y7KLBOTWNXQ2T\u0026generated_at=1634666729""}}","lat:""38.8997""","lon:""-76.9272""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=Y7KLBOTWNXQ2T\u0026generated_at=1634666729"""
